pkt_id,timestamp_ms,altitude_m,temp_c,temp_c_1,temp_c_2,temp_c_3,temp_c_4,pressure_hpa,accel_z,gyro_x,lat,lon,rssi_dbm,flags
0,0,0.0,25.0,27.1,28.0,23.5,24.5,1013.25,15.29,0,51.5,-0.1,-50,60
1,100,0.0,25.0,27.1,28.0,23.5,24.5,1013.25,15.29,0,51.5,-0.1,-50,60
2,200,0.0,25.0,27.1,28.0,23.5,24.5,1013.25,15.29,0,51.5,-0.1,-50,60
3,300,0.0,25.0,27.1,28.0,23.5,24.5,1013.25,15.29,0,51.5,-0.1,-50,60
4,400,0.0,25.0,27.1,28.0,23.5,24.5,1013.25,15.29,0,51.5,-0.1,-50,60
5,500,0.0,25.0,27.1,28.0,23.5,24.5,1013.25,15.29,0,51.5,-0.1,-50,60
6,600,0.0,25.0,27.1,28.0,23.5,24.5,1013.25,15.29,0,51.5,-0.1,-50,60
7,700,0.0,25.0,27.1,28.0,23.5,24.5,1013.25,15.29,0,51.5,-0.1,-50,60
8,799,0.0,25.0,27.1,28.0,23.5,24.5,1013.25,15.29,0,51.5,-0.1,-50,60
9,899,0.0,25.0,27.1,28.0,23.5,24.5,1013.25,15.29,0,51.5,-0.1,-50,60
10,999,0.0,25.0,27.1,28.0,23.5,24.5,1013.25,15.29,0,51.5,-0.1,-50,60
11,1099,0.0,25.0,27.1,28.0,23.5,24.5,1013.25,15.29,0,51.5,-0.1,-50,60
12,1200,0.0,25.0,27.1,28.0,23.5,24.5,1013.25,15.29,0,51.5,-0.1,-50,60
13,1300,0.0,25.0,27.1,28.0,23.5,24.5,1013.25,15.29,0,51.5,-0.1,-50,60
14,1400,0.0,25.0,27.1,28.0,23.5,24.5,1013.25,15.29,0,51.5,-0.1,-50,60
15,1500,0.0,25.0,27.1,28.0,23.5,24.5,1013.25,15.29,0,51.5,-0.1,-50,60
16,1600,0.0,25.0,27.1,28.0,23.5,24.5,1013.25,15.29,0,51.5,-0.1,-50,60
17,1700,0.0,25.0,27.1,28.0,23.5,24.5,1013.25,15.29,0,51.5,-0.1,-50,60
18,1800,0.0,25.0,27.1,28.0,23.5,24.5,1013.25,15.29,0,51.5,-0.1,-50,60
19,1900,0.0,25.0,27.1,28.0,23.5,24.5,1013.25,15.29,0,51.5,-0.1,-50,60
20,2000,0.0,25.0,27.1,28.0,23.5,24.5,1013.25,15.29,0,51.5,-0.1,-50,60
21,2100,0.0,25.0,27.1,28.0,23.5,24.5,1013.25,15.29,0,51.5,-0.1,-50,60
22,2200,0.0,25.0,27.1,28.0,23.5,24.5,1013.25,15.29,0,51.5,-0.1,-50,60
23,2300,0.0,25.0,27.1,28.0,23.5,24.5,1013.25,15.29,0,51.5,-0.1,-50,60
24,2400,0.0,25.0,27.1,28.0,23.5,24.5,1013.25,15.29,0,51.5,-0.1,-50,60
25,2500,0.0,25.0,27.1,28.0,23.5,24.5,1013.25,15.29,0,51.5,-0.1,-50,60
26,2600,0.0,25.0,27.1,28.0,23.5,24.5,1013.25,15.29,0,51.5,-0.1,-50,60
27,2700,0.0,25.0,27.1,28.0,23.5,24.5,1013.25,15.29,0,51.5,-0.1,-50,60
28,2800,0.0,25.0,27.1,28.0,23.5,24.5,1013.25,15.29,0,51.5,-0.1,-50,60
29,2900,0.0,25.0,27.1,28.0,23.5,24.5,1013.25,15.29,0,51.5,-0.1,-50,60
30,3000,0.0,25.0,27.1,28.0,23.5,24.5,1013.25,15.29,0,51.5,-0.1,-50,60
31,3100,0.0,25.0,27.1,28.0,23.5,24.5,1013.25,15.29,0,51.5,-0.1,-50,60
32,3200,0.0,25.0,27.1,28.0,23.5,24.5,1013.25,15.29,0,51.5,-0.1,-50,60
